No,Company,Position,Location ,WFH/ WFO/ Hybird,length of work experience required (years),,Salary,Access Date,Upload By Company,Enthusiast,Category,Degree,Information
,,,,,MIN,MAX,,,,,,,
1,Develab,AI Engineer,,Hybrid,3,5,,,,,Full-time,Bachelor's,
2, PT. Technologi Digital Nusantara (Techbros),AI LLM Engineer,,,,,20000000,1-Sep-25,,,Full-time,Bachelor's,
3,PT Lintas Media Danawa,AI Engineer,,Hybrid,3,5,8000000 - 11500000,1-Sep-25,- 1 Month,,Full-time,Diploma,
4,Epilog Creative,AI Engineer,"Jakarta, Jakarta Selatan, Indonesia",Hybrid,1,3,8000000 - 9000000,1-Sep-25,- 1 Month,,Full-time,Diploma,
5, Wibi Digital Technology,AI Engineer,"Jakarta, Jakarta Selatan, Indonesia",WFO,1,3,7600000 - 11400000,1-Sep-25,,,Full-time,Diploma,
6, LOKA BESPOKE,AI Engineer,"Jakarta, Jakarta Selatan, Indonesia",WFO,1,3,5000000 - 9000000,1-Sep-25,- 1 Month,,Full-time,Bachelor's,
7, PT Asa Ren Global Nusantara,AI Engineer,"Jakarta, Jakarta Selatan, Indonesia",WFO,3,5,7000000 - 9000000,2-Sep-25,12 Month ago,,Full-time,Bachelor's,
8,Kantor Advokat Andi Dedi Wijaya & Rekan,AI Engineer,"Jakarta, Jakarta Selatan, Indonesia",WFH,3,5,-,3-Sep-25,20 days ago,,Freelance,Bachelor's,
9,Medor.id,AI Automation Engineer,"Jakarta, Jakarta Selatan, Indonesia",Hybrid,3,5,20000000 - 25000000,3-Sep-25,16 days ago,,Full-time,Diploma,
10, Peepl,IT Machine Learning Engineer,Jakarta,WFO,3,5,-,3-Sep-25,11 days ago,,Contract,Bachelor's,
11, eKan,Machine Learning Engineer,"Jakarta, Jakarta Selatan, Indonesia",WFO,1,3,7000000 - 12000000,3-Sep-25,1 Month ago,,Full-time,Bachelor's,
12,PT Data Labs Analytics,Machine Learning Engineer,Jakarta,WFO,1,3,5400000 - 8000000,3-Sep-25,8 days ago,,Full-time,Bachelor's,
13, Lawencon International,AI Engineer,"Jakarta, Jakarta Selatan, Indonesia",WFO,2,4,5600000 - 8400000,3-Sep-25,11 days ago,,Full-time,Bachelor's,
14, PT Yafira Digital Technology,AI Engineer,"Jakarta, Jakarta Selatan, Indonesia",WFO,2,,4000000 - 8000000,3-Sep-25,9 days ago,,Contract,Bachelor's,
15, Synapsis.id,Junior AI Engineer (NLP),"Jakarta, Jakarta Timur, Indonesia",WFO,1,,4000000 - 6000000,3-Sep-25,12 days ago,,Full-time,Bachelor's,
16, Guepedia,AI Engineer,"Bogor, Jawa Barat",WFO,1,3,3000000 - 5000000,3-Sep-25,1 Month ago,,Full-time,Bachelor's,
17,ERA Kita,Machine Learning Engineer,"Surabaya, Jawa Timur",WFO,1,3,3200000 - 5500000,3-Sep-25,8 month ago,,Full-time,Senior High School,
18, PT DAZO KREATIF INDONESIA,AI Engineer,Yogyakarta,WFO,1,2,3000000 - 4500000,3-Sep-25,27 days ago,,Full-time,Bachelor's,
19,PT Newfemme Wanita Indonesia,AI/ML Engineer,"Jakarta, Jakarta Utara, Indonesia",WFO,1,3,5000000 - 7000000,3-Sep-25,27 days ago,,Full-time,Bachelor's,
