No,Company,Position,Location ,WFH/ WFO/ Hybird,length of work experience required (years),,Salary,Access Date,Upload By Company,Enthusiast,Category,Degree,Information
,,,,,MIN,MAX,,,,,,,
1,PT. FIS CLOUDS INNOVATIONS,AI/ML Engineer,Jakarta,Hybird,Fresh graduate,2,,2/9/2025,3 weeks,20,Full-Time,Bachelor's,
2,Stockbit,AI/ML Engineer,Jakarta,Hybrid,,,,2/9/2025,2 months,,Full-Time,Bachelor's,Biasanya memberikan tanggapan dalam 1 hari
3,PT. Indocyber Global Teknologi ,AI Engineer Junior ,Jakarta,WFO,1,,,2/9/2025,2 months,,Contract,Bachelor's,
4,SMART Agribusiness and Food,Data Science Engineer,Jakarta,,2,,,2/9/2025,1 months,,Full-Time,Bachelor's,
5,Samsung Electronics,Software Engineer - AI,Jakarta,WFO,2,,,2/9/2025,4 weeks,,Full-Time,Bachelor's,Biasanya memberikan tanggapan dalam 1 hari
6,PT Wecruit Lab Indonesia,AI/Machine Learning Engineer,Jakarta,WFH,2,,15750000 - 22500000,2/9/2025,1 weeks,,Full-Time/Contract,Bachelor's,Biasanya memberikan tanggapan dalam 3 hari
7,PT. Uni Network Communications Jakarta ,"AWS AI Developer for Cloudetica Solutions (Remote, Casual/Part-time position)",Jakarta,WFH,,,,2/9/2025,6 months,,Part Time,-,Merekrut beberapa kandidat
8,PT Rakhasa Artha Wisesa,AI Engineer | Bangun Kecerdasan Buatan yang Cerdas — dengan Hati yang Tulus dan Rendah Hati,Jakarta,Hybrid,2,,,2/9/2025,2 months,,,,
9,PT PM SAMPOERNA ISC ,Data Engineer,Jakarta,,3,,,2/9/2025,3 months,,Full-Time,Bachelor's,
10,Nomura Research Institute Indonesia,Machine Learning Engineer (MLE),Jakarta,WFH,3,,12000000 - 24000000,2/9/2025,5 months,,Full-Time,-,
11,Binance,"Data Scientist (Recommendation Systems), Binance Square",Jakarta,Hybrid,3,,,3/9/2025,3 weeks,,Full-Time,Bachelor's,
12,HashMicro Pte Ltd,Artificial Inteligence Specialist,Jakarta,,2,,,3/9/2025,10 months,,Full-Time,Bachelor's,
13,Samsung Electronics,Senior AI Engineer,Jakarta,WFO,5,,,3/9/2025,1 month,,Full-Time,Ph.D (preferred),
14,EY,Machine Learning Engineering Consultant (Junior & Senior),Jakarta,WFO,1,,,3/9/2025,2 weeks,,Full-Time,Bachelor's,
15,Portcast,Senior Machine Learning Engineer,Singapore,WFH,5,,,3/9/2025,5 months,,Full-Time,Bachelor's,
16,Bonza,Senior Machine Learning Engineer,Jakarta,,,,,3/9/2025,10 months,,Full-Time,Bachelor's,
17,Accenture,Data & AI Engineering,Jakarta,,,,,3/9/2025,,,Full-Time,,Biasanya memberikan tanggapan dalam 3 hari
18,Technosoft Consulting,Machine Learning Engineer – Intellegent Automotive Retail and Mobility,Indonesia,,5,,,3/9/2025,10 months,,,Bachelor's,
19,Kompas Gramedia,Machine Learning Engineer | Jakarta,Jakarta,,2,,,3/9/2025,2 months,,Full-Time,Bachelor's,
20,Kredivo Group,Machine Learning Engineer,Jakarta,,2,,,3/9/2025,10 months,,Full-Time,,Biasanya memberikan tanggapan dalam 1 hari
21,Sportserve,Indonesian AI Developer,Jakarta,,,,,3/9/2025,1 week,,,Bachelor's,
22,Mekari (PT. Mid Solusi Nusantara),AI Engineer,Jakarta,Hybrid,,,,3/9/2025,2 Weeks,,,Bachelor's,
23,ICS Compute Jakarta ICS Compute,Generative AI Engineer,Jakarta,,2,,,3/9/2025,1 month,,Full-Time,Bachelor's,
24,Bjak,AI Engineer (Remote),Jakarta,WFH,4,,,3/9/2025,1 month,,Full-Time,Bachelor's,
25,Gositus,AI Engineer,Jakarta,,2,,,3/9/2025,6 days,,Full-Time,Bachelor's,
26,NTT DATA,Associate AI Engineer,Jakarta,Hybrid,,,,3/9/2025,2 months,,Full-Time,Bachelor's,
27,Shopee,AI Solution Engineer,Jakarta,,2,,,3/9/2025,3 weeks,,,Bachelor's,
