No,Company,Position,Location ,WFH/ WFO/ Hybird,length of work experience required (years),,Salary,Access Date,Upload By Company,Enthusiast,Category,Degree,Information
,,,,,MIN,MAX,,,,,,,
1,Braintrust ,Prompt Engineer / AI Engineer,Asia Pasifik dan Jepang,WFH,3,5,-,30-Agu-2025,- 2 weeks,>100 ,Full-time,-,Respons dikelola di luar LinkedIn
2,VIDA Digital Identity,Deep Learning / AI Scientist - Liveness Detection and Biometrics ,"Jakarta, Jakarta Raya, Indonesia",-,3,,-,30-Agu-2025,30-Agu-2025 (reupload),>100,Full-time,master’s or PhD,Respons dikelola di luar LinkedIn
3,"RH USA, Inc",AI Prompter Engineer,"Bekasi Selatan, Jawa Barat, Indonesia",WFO,0,,-,30-Agu-2025,- 6 days,47,Full-time,Bachelor's,Respons dikelola di luar LinkedIn
4,Bibit.id,AI/ML Engineer,"Jakarta, Jakarta Raya, Indonesia ",Hybird,0,,-,30-Agu-2025,- 1 Month,>100,Full-time,Bachelor's or Master's,-
5,CAD IT Gruppo Cedacri ,Computer Vision Intern,"Gedebage, Jawa Barat, Indonesia",WFO,0,,1500000 - 2000000,30-Agu-2025,30-Agu-2025,34,Intern,Diploma,Respons dikelola di luar LinkedIn
6,Yoona Digital Indonesia ,AI Chatbot Developer / Conversational AI Engineer,"Kebayoran Lama, Jakarta Raya, Indonesia",WFO,<1,,7600000 - 11400000,30-Agu-2025,- 2 weeks,>100,Full-time,-,Respons dikelola di luar LinkedIn
7,Invisible Expert Marketplace,Engineering Specialist – AI Trainer,Indonesia,WFH,,,132000 - 1070000 / hour,30-Agu-2025,- 2 Weeks (repost),>100,Contract,master’s or PhD,Respons dikelola di luar LinkedIn
8,SoftAge Information-Technology-Limited,AI Agent Trainer (Remote – Flexible Hours) ,Indonesia,WFH,,,165000 - 990000 / hour,30-Agu-2025,- 1 Weeks,>100,part time,-,-
9,Supercoder,AI Engineer (CAD Automation),Asia Pasifik,WFH,,,-,30-Agu-2025,- 1 Weeks,>100,Full-time,-,-
10,ZettaByte Pte Ltd,AI Engineer,"DIY, DIY, Indonesia or Bali",WFO,1,,-,30-Agu-2025,- 4 moths,>100,Full-time,-,Respons dikelola di luar LinkedIn
11,Mekari,AI Engineer,"Jakarta, Jakarta Raya, Indonesia",Hybird,<1,,-,30-Agu-2025,- 1 Weeks,>100,Full-time,Bachelor's or Master's,Respons dikelola di luar LinkedIn
12,PT DAYA CIPTA MANDIRI SOLUSI,Medical Artificial Intelligence (AI) Engineer,"Bandung, Banten, Indonesia",WFO,,,-,30-Agu-2025,- 7 Weeks,>100,Full-time,master’s or PhD,Respons dikelola di luar LinkedIn
13,GMI cloud,Global AI Cloud Inference System Engineer Intern,Asia Pasifik dan Jepang,WFH,,,-,30-Agu-2025,- 2 Days,>100,Intern,Bachelor's,Meninjau pelamar secara aktif
14,RWS Group,AI Data Annotators – Indonesian | STEM Background Required (hiring globally) ,"Jakarta Raya, Indonesia",WFH,,,231000 / hour,30-Agu-2025,- 1 Days,65,Freelance,Master’s degree in STEM,-
15,BitHealth,Associate AI Engineer ,"DIY, DIY, Indonesia",WFO,,,3500000 - 4000000,30-Agu-2025,- 1 Month,80,Full-time,Bachelor's,Respons dikelola di luar LinkedIn
16,Tap Growth ai,AI Engineer (Karawang -KIIC),"Cikarang Barat, Jawa Barat, Indonesia",WFO,4,,-,31-Agu-2025,- 5 days,74,Full-time,-,Respons dikelola di luar LinkedIn
17,Pintu,AI Engineer,Indonesia,WFO,2,,-,31-Agu-2025,- 1 Month,>100,Full-time,Bachelor's or Master's,Respons dikelola di luar LinkedIn
18,BJAK,Machine Learning Engineer (Diffusion / Vision),"Jakarta, Jakarta Raya, Indonesia",WFH,,,-,31-Agu-2025,- 3 Days,79,Full-time,-,"Respons dikelola di luar LinkedIn, Focus in diffusion models"
19,Synapsis,Jr. AI Engineer,"Gambir, Jakarta Raya, Indonesia",WFO,1,,-,31-Agu-2025,- 2 weeks,>100,Full-time,"Bachelor, Diploma 3, Diploma 4 ",Respons dikelola di luar LinkedIn
20,Sportserve,Indonesian AI Developer,Indonesia,Hybird,,,-,31-Agu-2025,- 4 Days,>100,Full-time,Bachelor's,Respons dikelola di luar LinkedIn
21,WIZ.AI,AI Agent Developer,"Jakarta Raya, Indonesia",WFO,,,-,31-Agu-2025,- 5 Days,>100,Full-time,Bachelor's,Meninjau pelamar secara aktif
22,Shopee,AI Solution Engineer,"Jakarta Raya, Indonesia",WFO,2,,-,31-Agu-2025,- 2 weeks,>100,Full-time,Bachelor's,Respons dikelola di luar LinkedIn
23,TELUS Digital Al Data Solutions,Data Partner - Computer Science (Korean),Indonesia,WFH,,,310000 - 465000 / hour,31-Agu-2025,- 2 weeks,38,part time,Bachelor's or Master's,Respons dikelola di luar LinkedIn
24,Kredivo Group,Machine Learning Engineer,Area DKI Jakarta,WFO,2,3,-,31-Agu-2025,- 1 Days,>100,Full-time,master’s or PhD,Meninjau pelamar secara aktif
25,Sekolah.mu,Sr. AI Engineer - I,"Jakarta Raya, Indonesia ",Hybird,5,,-,31-Agu-2025,- 2 weeks,63,Contract,Bachelor's,Respons dikelola di luar LinkedIn
26,Gositus / PT Go Online Solusi,AI Engineer,"Jakarta, Jakarta Raya, Indonesia",WFO,2,,-,31-Agu-2025,- 2 Days,59,Full-time,Bachelor's,Respons dikelola di luar LinkedIn
27,Bjak,Ai Engineer (Remote),"Jakarta, Jakarta Raya, Indonesia",WFH,4,6,-,31-Agu-2025,- 1 Month,>100,Full-time,Bachelor's or Master's,Respons dikelola di luar LinkedIn
28,Tap Growth ai,AI Engineer (Karawang -KIIC),"Cikarang Barat, Jawa Barat, Indonesia",WFO,4,,-,31-Agu-2025,- 6 days,75,Full-time,-,Respons dikelola di luar LinkedIn
29,Bjak,AI Software Engineer (Remote),"Jakarta, Jakarta Raya, Indonesia",WFH,2,4,-,1-Sep-25,- 1 Month,>100,Full-time,Bachelor's,Respons dikelola di luar LinkedIn
30,Bjak,Founding AI Software Engineer (Remote),"Jakarta, Jakarta Raya, Indonesia",WFH,2,4,-,1-Sep-25,- 3 Weeks,77,Full-time,Bachelor's,Respons dikelola di luar LinkedIn
31,Bjak,Machine Learning Engineer (LLM),"Jakarta, Jakarta Raya, Indonesia",WFH,,,-,1-Sep-25,- 4 Days,64,Full-time,Bachelor's,Respons dikelola di luar LinkedIn
32,Bjak,Founding AI Engineer (Remote),"Jakarta, Jakarta Raya, Indonesia",WFH,,,-,1-Sep-25,- 3 Weeks,18,Full-time,Bachelor's or Master's,Respons dikelola di luar LinkedIn
33,Bjak,Full Stack Engineer AI (Remote),"Jakarta, Jakarta Raya, Indonesia",WFH,2,4,-,1-Sep-25,- 1 Month,>100,Full-time,Bachelor's,Respons dikelola di luar LinkedIn
34,Bjak,MLOps Engineer,"Jakarta, Jakarta Raya, Indonesia",WFH,,,-,1-Sep-25,- 4 Days,17,Full-time,-,Respons dikelola di luar LinkedIn
